"#Data was processed in Genespring 11.5.1.  Note filtering was not the same for CSM data as for YPD data, so number of probes differs.  Also, fold changes are NOT log2."																							
	"gal11-myc med3? vs BY4741, YPD"				"gal11? med3? vs BY4741, YPD"					"gal11-myc med3? vs BY4741, CSM"					"gal11? med3? vs BY4741, CSM"					"BY4741 vs BY4742, YPD"			
Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change
RPTR-Sc-E00696-1_s_at	0.5571475	0.7555641	-1.1199238		RPTR-Sc-J01347-1_at	0.10970557	0.27290303	-1.5802374		RPTR-Sc-J01347-3_at	1.17E-06	2.25E-04	3.4463902		RPTR-Sc-J01347-3_at	8.70E-07	4.13E-04	4.2596374		RPTR-Sc-E00696-1_s_at	0.6516057	0.8335006	-1.0541841
RPTR-Sc-AY342347_at	0.4992286	0.7146306	-1.1313988		RPTR-Sc-E00696-1_s_at	0.9949489	0.9964025	1.0005631		RPTR-Sc-J01347-2_at	4.33E-05	9.68E-04	1.5861068		RPTR-Sc-J01347-2_at	3.77E-04	0.006897753	1.6788567		RPTR-Sc-AY342347_at	0.8351203	0.9242332	-1.0307338
RPTR-Sc-AY056050-1_at	0.4245127	0.65924424	-1.178826		RPTR-Sc-AY342347_at	0.8265884	0.9060047	-1.0493598		RPTR-Sc-J01347-1_s_at	1.07E-04	0.001605151	1.8172905		RPTR-Sc-J01347-1_s_at	0.3682761	0.6153702	1.3807214		RPTR-Sc-AY056050-1_at	0.5537456	0.78152615	-1.0953248
RPTR-Sc-AJ132968-1_at	0.27121907	0.5214076	-1.1284635		RPTR-Sc-AY056050-1_at	0.5110331	0.68871367	-1.1439478		RPTR-Sc-J01347-1_at	0.17073412	0.34379628	1.214434		RPTR-Sc-J01347-1_at	0.8737721	0.943934	1.0502882		RPTR-Sc-AJ132968-1_at	0.039876	0.5033901	-1.0419993
RPTR-Sc-AJ002682-2_s_at	0.028005311	0.15297124	11.708203		RPTR-Sc-AJ132968-1_at	0.85883576	0.9244249	-1.025866		RPTR-Sc-ECOLOXL_x_at	0.12720796	0.28026354	-1.2639383		RPTR-Sc-ECOLOXL_x_at	0.15144233	0.378124	-1.1193925		RPTR-Sc-AJ002682-2_s_at	0.55389017	0.78152615	-1.0791566
RPTR-Sc-AJ002682-1_s_at	0.46898437	0.69366175	-1.0681933		RPTR-Sc-AJ002682-2_s_at	0.34141472	0.54426324	1.0915314		RPTR-Sc-ECOLOXL_at	0.7076278	0.83042914	1.0346917		RPTR-Sc-ECOLOXL_at	0.66246367	0.8326895	1.0334736		RPTR-Sc-AJ002682-1_s_at	0.33289745	0.6393267	1.0908267
RPTR-Sc-AF323980-1_at	0.16068324	0.39808765	-1.1440457		RPTR-Sc-AJ002682-1_s_at	8.23E-08	8.09E-04	1789.0446		RPTR-Sc-ECOLOXB_at	0.28273982	0.48127425	1.1099483		RPTR-Sc-ECOLOXB_at	0.48539242	0.7146006	1.0635211		RPTR-Sc-AF323980-1_at	0.5938244	0.8042768	-1.0327336
RPTR-Sc-AF298789-1_s_at	0.26341313	0.51315194	1.0957415		RPTR-Sc-AF323980-1_at	0.086795025	0.23559335	-1.1860179		RPTR-Sc-E00696-1_s_at	0.5362903	0.7064796	-1.051364		RPTR-Sc-E00696-1_s_at	0.32691395	0.5776843	1.0485474		RPTR-Sc-AF298789-1_s_at	0.10141579	0.5033901	-1.2037045
RPTR-Sc-AF292560-1_s_at	0.3356535	0.58306456	-1.0973834		RPTR-Sc-AF298789-1_s_at	0.7252757	0.84178585	1.0310901		RPTR-Sc-AY342347_at	0.9281978	0.96181923	1.0082312		RPTR-Sc-AY342347_at	0.45114872	0.6868422	1.0791892		RPTR-Sc-AF292559-4_s_at	0.6065437	0.8108378	-1.0337274
RPTR-Sc-AF292559-4_s_at	0.2663024	0.5160095	-1.1175557		RPTR-Sc-AF292560-1_s_at	0.26447454	0.46993253	-1.1195672		RPTR-Sc-AY056050-1_at	0.82369083	0.90072334	1.0215154		RPTR-Sc-AY056050-1_at	0.05348311	0.19475622	-1.1012255		RPTR-Sc-AF292559-1_at	0.4395541	0.70815843	1.0749897
RPTR-Sc-AF292559-1_at	0.7412502	0.8684198	-1.044384		RPTR-Sc-AF292559-4_s_at	0.42150122	0.6136718	-1.0352819		RPTR-Sc-AJ132968-1_at	0.88942534	0.94039977	-1.0049736		RPTR-Sc-AJ132968-1_at	0.10102336	0.2951038	-1.1190729		RPTR-Sc-AB076373-1_at	0.11880787	0.5033901	-1.152773
RPTR-Sc-AB076373-1_at	0.33353326	0.58134824	-1.1063943		RPTR-Sc-AF292559-1_at	0.70788664	0.8306597	-1.0391744		RPTR-Sc-AJ002682-2_s_at	0.001195217	0.007964224	3.0642831		RPTR-Sc-AJ002682-2_s_at	0.122386344	0.33394206	-1.1399512		RPTR-Sc-A00196-1_s_at	0.80749273	0.9136011	1.0326344
