"#Data was processed in Genespring 11.5.1.  Note filtering was not the same for CSM data as for YPD data, so number of probes differs.  Also, fold changes are NOT log2."																							
	"gal11-myc med3? vs BY4741, YPD"				"gal11? med3? vs BY4741, YPD"					"gal11-myc med3? vs BY4741, CSM"					"gal11? med3? vs BY4741, CSM"					"BY4741 vs BY4742, YPD"			
Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change		Probe Set ID	p-value	Corrected p-value	Fold change
1775938_at	0.38149652	0.62306875	-1.1447611		1775938_at	0.44755882	0.63550764	-1.1009089		1776381_at	0.40447164	0.59896135	-1.0938374		1776381_at	0.11307074	0.31870958	-1.1992755		1775922_at	0.14327817	0.50712955	1.0849274
1775937_at	0.038594488	0.184115	-1.6535491		1775937_at	0.32758206	0.53186077	-1.2024328		1776380_at	0.6496664	0.79215	1.0315462		1776380_at	0.8247188	0.9219976	-1.0112333		1775921_at	0.47660658	0.73369986	-1.040922
1775936_at	0.011778411	0.09914841	-1.3566746		1775935_at	0.010923838	0.06552969	-1.150413		1776379_at	1.71E-05	6.39E-04	1.5331025		1776379_at	2.74E-06	7.40E-04	1.5368798		1775920_at	0.19297357	0.53091025	-1.0480927
1775935_at	0.31775647	0.5666621	-1.0627601		1775934_at	0.007705233	0.052982237	1.5343341		1776378_at	0.08247686	0.20578964	-1.1064719		1776378_at	0.22981547	0.47973475	-1.1095271		1775919_at	0.4738229	0.7321716	1.0521876
1775934_at	0.5076705	0.7212766	1.0618701		1775933_at	0.009888911	0.061694246	-1.2302302		1776376_at	0.1258107	0.27819896	1.1788154		1776376_at	0.9475386	0.979528	1.0044986		1775918_at	0.046599053	0.5033901	-1.2688149
1775933_at	0.18880379	0.4316017	-1.0515739		1775932_at	0.00870199	0.05681446	1.2965864		1776374_at	0.879628	0.9347487	-1.0072505		1776374_at	0.57438684	0.7753087	-1.0262702		1775917_at	0.29974383	0.611153	1.1369383
1775932_at	0.00345411	0.054852184	1.3193201		1775930_at	0.2338098	0.43777943	1.0373324		1776373_at	0.3052842	0.5040553	1.1627349		1776373_at	0.67453	0.840509	1.0618445		1775916_at	0.15299201	0.5117757	-1.0964179
1775930_at	0.24799557	0.49657646	1.1289246		1775929_at	0.7377052	0.84956425	-1.0382657		1776372_at	0.00445798	0.021264428	1.1379523		1776372_at	0.002210843	0.02044001	1.3613522		1775915_at	0.28349936	0.59807134	1.080245
1775928_at	0.05327773	0.22002146	1.08563		1775928_at	0.052607827	0.17129928	1.0691648		1776371_at	0.046140715	0.13192719	1.0860281		1776371_at	0.20162612	0.44593608	1.1432918		1775914_at	0.40861526	0.6870127	1.0584855
1775927_at	0.27146107	0.5214938	1.0708038		1775927_at	0.34440303	0.5467381	1.1343931		1776370_at	0.6384127	0.7846103	1.0131259		1776370_at	0.73800176	0.8761103	-1.0349752		1775912_at	0.09870128	0.5033901	1.4407073
1775926_at	0.9609145	0.98165756	-1.0023211		1775926_at	0.37798494	0.57716864	1.0512625		1776369_at	0.6267465	0.77645224	1.0446203		1776369_at	0.94128567	0.9770488	-1.0061677		1775910_at	0.039527588	0.5033901	1.1511915
1775925_at	0.05342223	0.22013721	-1.4325708		1775925_at	0.018630961	0.09076243	-1.5640483		1776368_at	0.049483735	0.13965864	-1.1021526		1776368_at	0.29820156	0.5527984	-1.0341041		1775908_at	0.2684161	0.58675206	1.1207689
1775924_at	0.012803127	0.10343496	-1.4695688		1775924_at	0.01509988	0.07972672	-1.6438434		1776367_at	0.4276876	0.61961687	-1.0346057		1776367_at	0.11715164	0.32542783	1.294933		1775906_at	0.24227343	0.56797147	-1.2247183
1775923_at	0.20442	0.4498338	-1.1519291		1775922_at	0.04667376	0.15918653	1.202232		1776366_at	0.95905787	0.9784996	-1.0020496		1776366_at	0.013374239	0.07178472	1.3086835		1775905_at	0.83654445	0.9244179	-1.025356
1775922_at	0.041138247	0.19160172	1.1403804		1775921_at	0.25157103	0.45574057	-1.0721223		1776365_s_at	0.01894136	0.06450333	1.0619979		1776365_s_at	0.9369927	0.9751863	-1.0070858		1775904_at	0.5414077	0.7725317	1.0910101
1775921_at	0.14885803	0.3816355	-1.1157236		1775920_at	0.05123954	0.16838786	-1.3284258		1776364_at	0.16023324	0.3295744	1.0624652		1776364_at	0.18719491	0.42724854	-1.1226171		1775902_at	0.15065154	0.5117757	-1.2963761
1775920_at	0.003935412	0.05680339	-1.250339		1775919_at	0.001385078	0.021984339	1.2588005		1776363_at	0.64833593	0.79135656	1.004851		1776363_at	0.067554675	0.22848576	-1.0920341		1775901_at	0.014820949	0.5033901	-1.1186199
1775919_at	0.001576459	0.040788807	1.2042024		1775918_at	5.67E-04	0.014626687	2.1508782		1776362_at	0.009753291	0.038464077	-1.1272154		1776362_at	0.019692356	0.09564359	-1.138028		1775899_at	0.2640388	0.5838745	-1.0889655
1775918_at	0.16681634	0.4053523	1.1960644		1775917_at	8.45E-04	0.017745655	2.2989228		1776361_at	0.23988774	0.43337938	-1.1148225		1776361_at	0.8720754	0.94318676	-1.0143889		1775898_at	0.27296326	0.5903358	-1.0644253
1775917_at	9.85E-04	0.033406448	2.342051		1775916_at	0.19147971	0.38602373	1.0841818		1776360_at	0.6953883	0.8221459	1.0187567		1776360_at	0.2639428	0.5191692	1.0638584		1775897_at	0.92872655	0.966085	1.0097555
1775916_at	0.3995764	0.6385199	1.0387366		1775915_at	0.004694703	0.040823143	1.3091167		1776359_at	1.44E-05	5.89E-04	1.0945212		1776359_at	0.6140769	0.8037648	-1.0416509		1775896_at	0.66223806	0.8380341	1.0594387
1775915_at	0.023935212	0.142366	1.2204676		1775914_at	0.4101215	0.6043572	-1.0942501		1776357_at	0.3230879	0.5226028	-1.0288657		1776357_at	0.3583783	0.6055655	-1.0655692		1775893_at	0.020059256	0.5033901	2.3604407
1775914_at	0.11132894	0.32625517	-1.1395689		1775912_at	0.02577003	0.110477336	1.6650137		1776356_at	0.002651899	0.014332652	-1.2006865		1776356_at	0.017908296	0.08895539	-1.361075		1775892_at	0.5592033	0.7830925	1.0794867
1775912_at	0.009268453	0.087024815	2.0054781		1775911_at	0.37411517	0.57393533	-1.1174815		1776355_at	3.97E-04	0.00365364	1.2231158		1776355_at	8.51E-04	0.011052274	1.160815		1775891_at	0.075253315	0.5033901	-1.1537508
1775911_at	0.6987206	0.84562045	-1.0508562		1775910_at	0.06799972	0.2013759	1.1249398		1776354_s_at	6.70E-05	0.001235224	3.1749978		1776354_s_at	0.41061702	0.6542095	1.2466947		1775890_at	0.19840384	0.5341745	1.5146536
1775910_at	0.94658095	0.97444963	1.003812		1775908_at	0.52744234	0.70187545	1.0892702		1776353_at	0.77020687	0.86790454	1.0181733		1776353_at	0.03316944	0.13882637	1.3423319		1775889_at	0.17520438	0.5230352	-1.0923003
1775908_at	0.73324496	0.86493874	1.0388086		1775906_at	0.32220837	0.5268796	-1.2160164		1776352_at	0.007879192	0.0328766	-1.1925123		1776352_at	0.021114193	0.10091787	-1.1828517		1775888_at	0.16119756	0.5157179	-1.1662554
1775906_at	0.84679466	0.9282735	-1.0348977		1775905_at	0.43310356	0.62363356	-1.0646439		1776351_at	3.13E-06	3.43E-04	-2.7999878		1776351_at	1.16E-05	0.001228556	-2.8436537		1775887_at	0.4718144	0.7311167	-1.0311905
1775905_at	0.5323292	0.73891985	-1.0734584		1775904_at	0.012038027	0.069213375	-1.5250678		1776350_at	0.00134884	0.008650307	1.4399998		1776350_at	0.06916124	0.23198096	1.1410859		1775885_at	0.47696123	0.7337856	-1.0713184
1775904_at	0.017524058	0.12230066	-1.7486467		1775903_at	0.9164172	0.95507663	1.008151		1776349_s_at	3.99E-04	0.003666993	1.5310389		1776349_s_at	3.92E-04	0.006963064	1.760499		1775884_at	0.35905558	0.6577282	-1.1743315
1775903_at	0.49662262	0.71355957	-1.065071		1775902_at	0.61148	0.765226	-1.0530337		1776348_at	0.003604672	0.018144567	1.5282164		1776348_at	0.082498714	0.25967154	1.1404439		1775882_at	0.43951994	0.70815843	-1.0954924
1775902_at	0.36018148	0.6046729	-1.1101705		1775901_at	0.09303557	0.24574396	-1.031328		1776347_at	0.2572848	0.45295393	-1.0449369		1776347_at	0.5287184	0.74469954	-1.0785897		1775881_at	0.004415677	0.5033901	-1.1023208
1775901_at	5.29E-04	0.027117915	1.0935911		1775900_at	0.22428155	0.42709118	-1.0672559		1776346_at	1.21E-05	5.48E-04	1.2570457		1776346_at	0.003113088	0.025387933	1.5353587		1775880_at	0.25028658	0.57344574	1.1493416
1775899_at	0.78823054	0.8956296	-1.01524		1775899_at	0.20897456	0.40833873	1.1555165		1776345_at	0.8205523	0.89867663	-1.0349351		1776345_at	0.6413685	0.82080984	-1.0773145		1775879_at	0.5418363	0.7725317	1.0495398
1775898_at	0.46355313	0.68934965	-1.0804944		1775898_at	0.6392145	0.7837163	1.0294899		1776344_at	0.046394218	0.13251333	1.0345848		1776344_at	0.45872778	0.6928987	1.0219836		1775878_at	0.14800277	0.511014	1.2483011
1775897_at	0.7225084	0.8584248	-1.0470045		1775897_at	0.1308207	0.30324233	-1.1776965		1776343_at	0.4696737	0.65459794	-1.0507863		1776343_at	0.5748939	0.7756099	-1.2098484		1775877_at	0.5154212	0.7572858	-1.0307117
1775896_at	0.45184788	0.681271	-1.042847		1775896_at	0.7472553	0.85617197	1.0376848		1776342_at	0.001498623	0.009320972	1.2224444		1776342_at	0.029123444	0.12668078	1.1367157		1775876_at	0.039555784	0.5033901	-1.1414093
1775894_at	0.8866788	0.9460473	-1.0151434		1775894_at	0.41318265	0.6068234	1.092374		1776341_at	0.11268679	0.25751594	-1.0590801		1776341_at	0.34305152	0.5935508	-1.1121476		1775875_at	0.09992452	0.5033901	1.089284
1775893_at	0.28701806	0.53580904	1.3367981		1775893_at	0.19572033	0.3915377	1.2046167		1776340_at	0.33706766	0.5368715	1.1087917		1776340_at	0.6704111	0.8381953	1.0670077		1775874_at	0.4050486	0.68514365	1.1087761
1775892_at	0.012815241	0.103447825	1.2963501		1775892_at	0.027528241	0.114664055	1.3872234		1776339_at	0.02038528	0.06843943	1.2332917		1776339_at	0.106776774	0.30610088	1.1193386		1775873_at	0.5662673	0.7879166	-1.0623335
1775891_at	0.7080264	0.85107803	1.0184879		1775891_at	0.050337203	0.16658191	-1.3234881		1776338_at	0.002187902	0.012504915	1.1132978		1776338_at	0.049865663	0.18503632	1.2616409		1775872_at	0.36082304	0.6577282	1.070683
1775890_at	0.4665982	0.69186854	1.2252154		1775890_at	0.005061929	0.042360295	-1.7179347		1776337_at	0.002970605	0.015614606	1.2084588		1776337_at	0.00711845	0.045200706	1.2576752		1775871_at	0.5658199	0.7874194	-1.0341474
1775889_at	0.01540456	0.11421698	-1.2580557		1775889_at	0.00778145	0.053319756	-1.3114607		1776336_s_at	0.08116278	0.20352153	1.0513725		1776336_s_at	0.5490212	0.7595319	-1.026846		1775870_at	0.35767454	0.6560227	1.06433
1775888_at	0.002969407	0.05347108	-1.4096304		1775888_at	0.08826857	0.2377541	-1.1327972		1776335_at	7.37E-04	0.005607148	1.3619031		1776335_at	0.001166856	0.013550905	1.5785645		1775869_at	0.63937396	0.82757914	1.0447814
1775887_at	0.6535403	0.8190705	1.022085		1775887_at	0.020667225	0.09634298	1.1820757		1776334_at	0.2389842	0.4323873	-1.3513398		1776334_at	0.14639634	0.3713809	-1.4834104		1775868_s_at	0.4509255	0.7170455	1.0815907
1775885_at	0.9636166	0.9831149	-1.0030415		1775885_at	0.11749325	0.28463724	1.1140734		1776333_at	0.016163705	0.056924578	-1.0548681		1776333_at	0.81278205	0.91520685	-1.0385389		1775867_at	0.26090637	0.5825581	1.09306
1775884_at	0.024787474	0.14463528	-1.6042886		1775884_at	0.18526997	0.3778541	-1.2007626		1776332_at	0.004840883	0.022626678	-1.3214841		1776332_at	0.007162491	0.04534861	-1.4165208		1775866_at	0.066999026	0.5033901	-1.6316323
1775882_at	0.8593157	0.9335001	-1.0200863		1775882_at	0.385655	0.5843777	-1.1234207		1776331_at	0.08770959	0.21607088	-1.1229947		1776331_at	0.17599137	0.4112989	-1.0730748		1775865_at	0.5677399	0.7884192	1.064825
1775881_at	0.021963727	0.13784128	-1.2028669		1775881_at	0.11663521	0.28318694	-1.1242219		1776330_at	0.99423176	0.9956896	-1.0005007		1776330_at	0.37801513	0.624671	-1.0748893		1775863_at	0.357443	0.6560227	1.0577554
1775880_at	0.8390643	0.92323697	1.0209358		1775880_at	0.6234575	0.7734966	-1.0779039		1776329_at	0.76772696	0.8663486	1.0301315		1776329_at	0.9540377	0.982648	-1.0096761		1775862_at	0.76265293	0.89023125	1.0240496
1775879_at	0.44273964	0.6737372	-1.0614195		1775879_at	0.65215117	0.7928777	-1.0553341		1776328_at	0.6521498	0.7933533	1.0487573		1776328_at	0.6530713	0.82687557	1.0821816		1775861_at	0.27784103	0.5947146	-1.0459303
1775878_at	0.15602274	0.39213228	1.332994		1775878_at	0.055937383	0.17736067	1.4589057		1776327_at	0.89530987	0.94339466	-1.0142248		1776327_at	0.23276815	0.48285693	1.1454086		1775860_at	0.5398771	0.77169687	1.06769
1775877_at	0.008500919	0.083394036	-1.2639301		1775877_at	0.3549807	0.5565473	-1.0699288		1776326_at	4.62E-05	9.82E-04	-1.9390512		1776326_at	1.91E-04	0.004581703	-2.0644758		1775859_at	0.12622494	0.5033901	-1.0198793
1775876_at	0.9330971	0.9694422	-1.0028408		1775876_at	0.24041012	0.4452912	1.0868562		1776325_at	0.6539592	0.79466987	-1.0280379		1776325_at	0.9704433	0.9888848	-1.0033158		1775858_at	0.016277026	0.5033901	-1.0648429
1775875_at	0.06416575	0.23969515	1.1419069		1775875_at	0.06422675	0.19415626	1.1280617		1776324_at	0.007550821	0.03179418	1.4560136		1776324_at	0.9569803	0.9832098	-1.0054911		1775857_at	0.45356786	0.71763635	1.1564466
1775874_at	0.98915994	0.9952538	1.0019883		1775874_at	0.22167097	0.42400992	-1.1481433		1776323_at	0.6626097	0.80081826	-1.059576		1776323_at	0.7484801	0.8814948	1.075445		1775856_at	0.069755934	0.5033901	-1.3690199
1775873_at	0.005592479	0.06705519	1.8842595		1775873_at	5.31E-04	0.014082577	3.2850392		1776322_at	0.709396	0.83139133	1.0481672		1776322_at	0.79759634	0.9073634	1.0313603		1775855_at	0.57337046	0.7911705	-1.0298115
1775872_at	0.5889662	0.77790374	-1.0321507		1775872_at	7.35E-05	0.005341999	1.8524613		1776321_at	3.32E-04	0.003290024	2.238402		1776321_at	2.33E-04	0.005174037	2.0295904		1775854_s_at	0.46842873	0.72851086	1.1840317
1775871_at	0.083120555	0.2769431	-1.1513356		1775871_at	0.21382338	0.41415897	1.0411757		1776320_at	0.8126524	0.89477736	1.0206968		1776320_at	0.44310805	0.68038285	1.0779468		1775853_at	0.2920084	0.60606986	-1.0561359
1775870_at	0.47570086	0.6989038	-1.0720888		1775870_at	0.15518752	0.33711794	1.103161		1776319_at	0.24334672	0.43745565	1.0495992		1776319_at	0.20508876	0.4503322	-1.1959759		1775852_at	0.5505504	0.7803892	-1.0216616
1775869_at	0.00540939	0.06557968	1.5293645		1775869_at	0.061076947	0.18795556	1.2406818		1776318_at	0.73345214	0.84557074	1.0546225		1776318_at	0.012208705	0.06700756	1.2769926		1775851_at	0.10713345	0.5033901	1.7519569
1775868_s_at	0.11553932	0.3322558	-1.1612225		1775868_s_at	0.8853296	0.93934226	1.0254425		1776317_at	0.54902726	0.7173326	-1.0180984		1776317_at	0.008578236	0.051590312	-1.142803		1775850_at	0.71873105	0.8680237	1.047936
1775867_at	0.28399295	0.5328662	-1.1127809		1775867_at	0.47687793	0.6596934	-1.029974		1776316_at	0.13824318	0.2969769	1.1031545		1776316_at	0.5396899	0.753995	-1.0248257		1775849_at	0.8786602	0.9455573	1.0099673
1775866_at	0.6070498	0.78852606	-1.1106619		1775866_at	0.077525534	0.21810865	-1.4739071		1776315_at	4.22E-04	0.003799186	1.4140948		1776315_at	0.001062869	0.012805995	1.5765293		1775848_at	0.05752954	0.5033901	-1.2665404
1775865_at	0.643232	0.81257313	1.0510174		1775865_at	0.18458292	0.37712792	-1.0660938		1776314_at	0.9247673	0.9605546	-1.0091729		1776314_at	0.015760731	0.08131044	1.8316894		1775847_at	0.06481539	0.5033901	1.6837131
1775863_at	9.43E-04	0.032639034	1.5730745		1775863_at	9.93E-05	0.006099706	1.6236122		1776313_at	0.55698097	0.72383016	1.0807879		1776313_at	0.2654703	0.52055615	1.0734917		1775846_at	0.9013502	0.9545485	1.0205952
1775862_at	0.9655788	0.98349845	1.0038306		1775862_at	0.050771963	0.16744806	1.1393445		1776312_at	0.003434994	0.017459355	1.4994158		1776312_at	0.75796115	0.8858823	1.0589244		1775845_at	0.83867705	0.92524266	1.0131677
1775861_at	0.001207375	0.036752045	-1.2464838		1775861_at	0.060833044	0.18743978	-1.1347554		1776311_at	0.00975141	0.038464077	1.2906932		1776311_at	0.14561914	0.3701619	1.1599368		1775844_at	0.6670271	0.8406052	-1.0347164
1775860_at	0.12982047	0.3549212	-1.2279058		1775860_at	0.3973729	0.59457684	-1.0962663		1776310_at	0.13891758	0.29813263	1.0505545		1776310_at	0.020204451	0.097644776	-1.1821737		1775843_at	0.41725668	0.6921017	-1.0585433
1775859_at	0.9081511	0.9574272	-1.0017043		1775859_at	9.19E-04	0.018385638	1.2709614		1776309_at	0.001365539	0.008721571	1.2143502		1776309_at	0.027644556	0.1221744	1.1342801		1775842_at	0.09603628	0.5033901	2.7289462
1775858_at	0.011745971	0.09904493	-1.2376144		1775858_at	0.005266277	0.043159407	-1.2194079		1776308_at	0.23696034	0.4301499	-1.0705634		1776308_at	0.5729167	0.77418494	1.0921713		1775841_at	0.6081244	0.8115428	1.0422813
1775857_at	0.5485988	0.7496751	-1.0548012		1775857_at	0.82366866	0.9037922	-1.0094754		1776307_at	0.3712623	0.56919944	1.0870433		1776307_at	0.4749835	0.7041948	1.1147003		1775840_at	0.119444616	0.5033901	-1.1772015
1775856_at	0.59988445	0.7849241	-1.0626079		1775856_at	0.09522804	0.24892543	-1.2526		1776306_at	0.52598953	0.7002087	-1.10206		1776306_at	0.18705149	0.4270104	-1.1892582		1775839_at	0.27912107	0.5953732	-1.0585934
1775855_at	0.79008466	0.8965052	-1.0186348		1775855_at	0.9480389	0.9727225	1.0050358		1776305_at	0.93447596	0.96612614	1.0057106		1776305_at	0.6834976	0.844849	1.0302943		1775838_at	0.6172065	0.8168384	1.0616801
1775854_s_at	0.4460382	0.67654645	1.4161472		1775854_s_at	0.55941445	0.7266274	1.2871655		1776304_at	0.019291038	0.065469705	1.5443916		1776304_at	0.006349534	0.04179982	3.2438889		1775837_at	0.6509461	0.8328899	-1.047925
1775853_at	4.44E-04	0.025966153	1.5625395		1775853_at	0.001627543	0.024071155	1.3995676		1776303_at	0.59868497	0.7558409	-1.0532727		1776303_at	0.857757	0.9370108	1.0165603		1775836_at	0.035970133	0.5033901	1.1777756
1775852_at	0.4574471	0.68506765	-1.0662146		1775852_at	0.5593686	0.7266274	1.0245111		1776302_at	0.002026888	0.011800655	-1.2819921		1776302_at	0.021197999	0.10120215	-1.4250884		1775835_at	0.1680026	0.5174875	1.2122787
1775851_at	0.032285325	0.1655865	1.1468704		1775851_at	0.063436545	0.19274196	1.2188188		1776301_at	0.32892206	0.52906394	-1.0934374		1776301_at	0.07531492	0.2450987	-1.1870471		1775833_at	0.65768754	0.837018	-1.0382946
1775850_at	0.47705463	0.6994335	-1.099973		1775850_at	0.34025142	0.54345095	-1.1280661		1776300_at	0.8270221	0.9024923	-1.0211846		1776300_at	0.7341402	0.87402594	-1.0355368		1775832_at	0.9415358	0.97202885	-1.0007446
1775849_at	0.03194778	0.16454194	1.2339925		1775849_at	0.07220394	0.2086694	1.1959468		1776299_at	5.56E-04	0.004598115	1.1102418		1776299_at	0.009731406	0.056692276	1.163124		1775831_at	0.3636098	0.65947825	-1.0422217
1775848_at	0.50206244	0.7176909	1.1195866		1775848_at	0.94900686	0.97317547	1.0094389		1776298_at	0.001939525	0.011419787	1.173972		1776298_at	0.40675333	0.6501246	1.0382353		1775830_at	0.8341596	0.92410433	1.0167979
1775847_at	0.18228336	0.42371467	1.647337		1775847_at	0.24210127	0.4464878	1.427287		1776297_at	9.60E-06	5.12E-04	-2.089306		1776297_at	2.17E-04	0.004951717	-1.705586		1775829_at	0.096614905	0.5033901	-1.1292332
1775846_at	0.41772833	0.6537894	-1.0953951		1775846_at	0.12093531	0.2896905	-1.1887317		1776295_at	0.015683932	0.055539213	-1.2056983		1776295_at	0.70736164	0.857941	-1.0624387		1775828_at	0.17966218	0.5242041	1.2796628
1775845_at	0.5915781	0.77957326	-1.0426594		1775845_at	0.8073369	0.89546144	-1.0359924		1776294_at	0.59556997	0.7536153	1.0960768		1776294_at	0.65281576	0.82677925	1.0917872		1775827_at	0.70821536	0.8622861	1.0511012
1775844_at	0.016457932	0.117787845	1.3484242		1775844_at	0.13101314	0.30352682	1.1395221		1776293_at	0.030110408	0.09305325	1.092937		1776293_at	0.44383445	0.6808286	-1.0938523		1775826_s_at	0.44720507	0.71398276	1.0412272
1775843_at	0.04561552	0.20302933	-1.2493544		1775843_at	0.05508926	0.17586325	-1.3236549		1776292_at	0.19391568	0.3759288	-1.179747		1776292_at	0.18813963	0.42884752	-1.1710075		1775825_at	0.63057166	0.82369477	1.0540051
1775842_at	0.06397725	0.23917274	1.6706975		1775842_at	0.023062784	0.10352039	2.1136186		1776291_at	0.19395724	0.37594265	1.0821534		1776291_at	0.23716067	0.48759136	1.0708606		1775824_at	0.1049822	0.5033901	-1.0397627
1775841_at	0.29249102	0.5398554	-1.1119221		1775841_at	0.8773278	0.9338117	-1.0154228		1776290_at	0.005920019	0.026330471	1.1363705		1776290_at	0.002542665	0.022264618	1.4045467		1775823_at	0.28988513	0.60361415	-1.1380723
1775840_at	0.018223953	0.12425652	-1.4059408		1775840_at	0.052760947	0.17160843	-1.3395199		1776289_s_at	0.13319086	0.2894233	-1.2196144		1776289_s_at	0.074254915	0.24275807	-1.2027575		1775822_at	0.46854618	0.72851086	-1.0608491
1775839_at	0.036352776	0.17764439	1.2300534		1775839_at	0.023096332	0.10352039	1.3771807		1776288_at	0.20796107	0.39400113	-1.0684159		1776288_at	0.15898465	0.38858962	-1.0881537		1775821_at	0.13154146	0.5036099	-1.1510383
1775838_at	0.23067626	0.47908965	1.133312		1775838_at	0.31405744	0.51942915	1.082055		1776287_at	0.7398197	0.84915155	1.0359355		1776287_at	0.38265368	0.6287468	1.0975173		1775820_at	0.31503782	0.6243993	1.1268841
1775837_at	0.16074125	0.39808765	1.1378671		1775837_at	0.671511	0.8054525	1.0476938		1776286_at	0.2142198	0.40216354	-1.1321808		1776286_at	0.65637416	0.82875293	-1.0494995		1775818_at	0.16702913	0.5174875	1.1720653
1775836_at	0.3656454	0.6092231	-1.1346781		1775836_at	0.5647347	0.7310082	-1.0368797		1776285_at	5.38E-04	0.004504485	3.2550526		1776285_at	0.00146587	0.01575478	4.362103		1775816_at	0.73755103	0.8784867	1.003176
1775835_at	0.81075066	0.90716976	1.0285903		1775835_at	0.14378469	0.32204884	1.1636428		1776284_at	0.10984362	0.25361738	-1.2013324		1776284_at	0.34842536	0.5967013	-1.0608188		1775815_at	0.15206759	0.5117757	-1.1610197
1775833_at	0.66219085	0.82455176	-1.0426476		1775833_at	0.5127477	0.6900779	-1.0603312		1776283_at	0.32943505	0.52949935	-1.0369616		1776283_at	0.06968373	0.23294702	1.0720681		1775814_at	0.50586927	0.75204426	1.0394015
1775832_at	0.5371622	0.74270546	1.0070658		1775832_at	0.08413158	0.23078641	-1.0266693		1776282_at	0.002795217	0.014936982	-1.2821882		1776282_at	0.16464233	0.3966697	-1.1282165		1775812_at	0.50794894	0.75326127	1.0495372
1775831_at	0.010946387	0.095327616	1.3461113		1775831_at	0.06206851	0.18999538	1.2385468		1776281_at	0.00586273	0.026118185	1.1511134		1776281_at	0.09357941	0.2827304	1.178405		1775811_at	0.5605831	0.7843151	1.0523643
1775830_at	0.56539816	0.7609849	1.0529407		1775830_at	0.6141876	0.7666422	1.0624015		1776280_at	0.5614334	0.72719496	1.021803		1776280_at	0.06604342	0.22528124	1.1160157		1775810_at	0.18577118	0.5269164	2.807945
1775829_at	0.5393208	0.7446418	1.0175478		1775829_at	0.9088331	0.951235	1.0058141		1776279_at	0.88986343	0.94039977	1.0107367		1776279_at	0.20525832	0.4504558	1.1178598		1775809_at	0.3640149	0.65947825	-1.0274165
1775828_at	0.6320392	0.80599767	-1.1031606		1775828_at	0.5476685	0.7173563	-1.1106151		1776278_at	0.026387379	0.08375291	1.0360594		1776278_at	0.032758646	0.13750404	-1.128693		1775808_at	0.13851993	0.5066349	1.2786312
1775827_at	0.6972486	0.84477484	1.0500637		1775826_s_at	0.22609183	0.42862788	-1.0775166		1776277_x_at	0.05880416	0.15997308	1.1459615		1776277_x_at	0.29649964	0.5511393	1.021615		1775807_at	0.05121864	0.5033901	-1.2671769
1775826_s_at	0.20661826	0.45299327	1.1405365		1775825_at	0.109789416	0.2730385	-1.2172458		1776276_at	0.11967512	0.26804873	1.0861359		1776276_at	0.8241814	0.9215854	1.0159385		1775806_at	0.24618348	0.5709895	-1.1001207
1775825_at	0.46350396	0.68934965	1.0469271		1775824_at	0.049491234	0.1647919	-1.1099118		1776275_at	0.012441806	0.04646755	1.8002369		1776275_at	0.026342811	0.11841803	1.7373434		1775805_at	0.8713513	0.9416336	1.013393
1775824_at	0.042106852	0.19482097	-1.1789938		1775823_at	0.59862113	0.7561774	1.0628922		1776274_at	0.8004151	0.8871132	-1.0178388		1776274_at	0.37906474	0.62575376	-1.0541866		1775804_at	0.82316875	0.9201522	-1.0335808
1775823_at	0.6760472	0.8321452	1.0493002		1775822_at	0.06226587	0.1903623	-1.2564476		1776273_x_at	9.02E-08	1.23E-04	3.6308596		1776273_x_at	2.04E-04	0.004780737	3.1350906		1775802_at	0.14800198	0.511014	1.1708845
1775822_at	0.93430746	0.96988475	-1.0096264		1775821_at	0.009512941	0.06004568	-1.2466741		1776272_at	9.15E-04	0.00654735	-1.2558768		1776272_at	2.96E-04	0.005926122	1.453303		1775801_at	0.1826218	0.52524984	1.0668879
1775821_at	0.004086146	0.05731097	-1.3852428		1775820_at	0.2110514	0.4106517	-1.1783549		1776271_at	0.9906698	0.9950195	1.0011778		1776271_at	0.123942845	0.33690262	1.1620686		1775800_at	0.67102116	0.8418357	1.0360925
1775820_at	0.022105265	0.137844	1.480012		1775818_at	0.09899979	0.25579068	-1.1404173		1776270_at	0.115213744	0.26111683	1.1637243		1776270_at	0.021129217	0.10091787	1.4839683		1775799_at	0.37111104	0.6635572	-1.109122
1775819_at	0.7646827	0.88240105	-1.0148783		1775816_at	0.02109486	0.097634524	1.0581354		1776269_at	0.35447487	0.5523601	-1.0456021		1776269_at	0.15056993	0.37678686	-1.0610683		1775797_at	0.21169311	0.5419438	1.119909
1775818_at	0.18368886	0.42527503	-1.2315848		1775815_at	0.618805	0.7694997	-1.0589912		1776268_at	3.11E-04	0.003172523	-1.1812512		1776268_at	0.1339534	0.35281822	-1.051243		1775796_at	0.9881553	0.9932243	-1.0009055
1775816_at	0.007438683	0.07736819	1.1055543		1775814_at	0.002089524	0.027194249	1.4745402		1776267_at	0.020202473	0.067909144	1.0639282		1776267_at	0.96875614	0.9885105	1.0039254		1775795_at	0.89711386	0.95290285	-1.0117762
