gene	name	baseMean	log2_FC	lfcSE	stat	pvalue	padj	minus_log10_pvalue
YER089C	PTC2	4426.710225	0.061498157	0.107438098	-0.572405487	0.5670473	0.999020118	0.000425766
YER090W	TRP2	10646.28816	0.059203972	0.117932331	-0.502016463	0.615655941	0.999020118	0.000425766
YER091C	MET6	53022.94928	0.077020641	0.15378633	-0.500828916	0.616491533	0.999020118	0.000425766
YER092W	IES5	2134.461913	0.074043747	0.12756356	-0.580445914	0.56161395	0.999020118	0.000425766
YER094C	PUP3	7036.637186	0.03009088	0.10664464	-0.282160262	0.777820627	0.999020118	0.000425766
YER098W	UBP9	2624.137486	-0.156600554	0.109115804	1.435177573	0.151236503	0.946778561	0.023751585
YER099C	PRS2	3732.652726	-0.078263775	0.092797024	0.843386688	0.399012214	0.999020118	0.000425766
YER100W	UBC6	3728.763449	0.106281015	0.155492112	-0.68351387	0.494282189	0.999020118	0.000425766
YER101C	AST2	2633.00964	0.171315966	0.151103349	-1.133766832	0.256892367	0.999020118	0.000425766
YER102W	RPS8B	4246.26381	0.133593284	0.253597752	-0.526792069	0.598337991	0.999020118	0.000425766
YER103W	SSA4	12628.4623	0.273983	0.191754937	-1.428818491	0.15305641	0.946818413	0.023733305
YER105C	NUP157	4198.791572	0.011723027	0.087430206	-0.134084399	0.893335836	0.999020118	0.000425766
YER110C	KAP123	5284.79051	0.006878796	0.17937351	-0.038349007	0.969409418	0.999020118	0.000425766
YER114C	BOI2	3982.256975	-0.107317385	0.106215629	1.010372819	0.312316705	0.999020118	0.000425766
YER116C	SLX8	3533.134823	0.006381233	0.157803158	-0.040437931	0.967743991	0.999020118	0.000425766
YER117W	RPL23B	4656.952708	0.210533027	0.226804447	-0.928257933	0.35327379	0.999020118	0.000425766
YER119C	AVT6	2520.934094	0.078566367	0.171476669	-0.458175257	0.646826534	0.999020118	0.000425766
YER120W	SCS2	4057.565401	0.001272852	0.082962223	-0.015342546	0.9877589	0.999020118	0.000425766
YER121W	YER121W	3514.176261	-0.261090474	0.302246409	0.863833171	0.387679543	0.999020118	0.000425766
YER122C	GLO3	6200.355557	0.129818219	0.119586973	-1.085554855	0.277675982	0.999020118	0.000425766
YER123W	YCK3	4415.20899	-0.072373033	0.087837959	0.823938013	0.40997478	0.999020118	0.000425766
YER125W	RSP5	4913.676661	-0.025215442	0.098304244	0.256504107	0.797561609	0.999020118	0.000425766
YER126C	NSA2	2164.134353	0.316536594	0.224424259	-1.410438407	0.158410272	0.960483275	0.017510193
YER127W	LCP5	2401.4488	0.306693309	0.148303858	-2.068006271	0.038639433	0.704627351	0.152040503
