gene	name	baseMean	log2_FC	lfcSE	stat	pvalue	padj	minus_log10_pvalue
YBR181C	RPS6B	1904.15213	-0.2837316	0.233636003	-1.214417284	0.224588419	0.354150253	0.450812443
YBR182C	SMP1	3618.556878	1.261719616	0.232182932	5.434161786	5.51E-08	5.10E-07	6.292041441
YBR182C-A	YBR182C-A	69.15190972	0.653653281	0.24093243	2.713014931	0.00666741	0.020277563	1.692984251
YBR183W	YPC1	2344.845337	0.818548875	0.213205174	3.839254278	0.000123409	0.000592892	3.22702461
YBR184W	YBR184W	150.5182778	-2.394815726	0.190484835	-12.57221198	3.00E-36	4.05E-34	33.39218088
YBR185C	MBA1	1433.942044	0.080740556	0.09363596	0.862281495	0.388532633	0.534851316	0.271766931
YBR186W	PCH2	439.4293651	-0.630577226	0.133702024	-4.716287825	2.40E-06	1.61E-05	4.791886252
YBR187W	GDT1	2055.358577	-0.371331132	0.187100526	-1.984661079	0.047182192	0.103411493	0.985431191
YBR188C	NTC20	1000.371445	0.042039403	0.109952435	0.382341718	0.702207914	0.80506094	0.094171244
YBR189W	RPS9B	8163.667839	-0.190067517	0.263489412	-0.721347836	0.470695532	0.613551437	0.212149023
YBR190W	YBR190W	29.24477127	0.916195764	0.314038287	2.917465166	0.003528891	0.011722573	1.930977049
YBR191W	RPL21A	6794.817068	-0.054314651	0.253825507	-0.213984213	0.830559368	0.891939563	0.049664572
YBR191W-A	YBR191W-A	41.472647	-0.525468585	0.337890032	-1.555146751	0.119911123	0.217139979	0.663260208
YBR192W	RIM2	2251.710651	0.06534331	0.13470824	0.485072849	0.627624671	0.746492107	0.12697478
YBR193C	MED8	1222.193808	-0.336744745	0.121627954	-2.76864598	0.005628976	0.017577401	1.75504533
YBR194W	AIM4	493.982645	-0.088450469	0.133336431	-0.663363108	0.507098027	0.647459085	0.188787671
YBR195C	MSI1	1109.278344	-0.79411939	0.172520555	-4.60304218	4.16E-06	2.69E-05	4.569752673
YBR196C	PGI1	39609.70925	0.654743281	0.131269345	4.987785083	6.11E-07	4.64E-06	5.333440291
YBR196C-A	YBR196C-A	83.4722268	0.360325314	0.269596248	1.336536829	0.181373871	0.300635309	0.521960014
YBR196C-B	YBR196C-B	103.389995	0.319998772	0.281541151	1.136596802	0.255706878	0.390581257	0.408288601
YBR197C	YBR197C	1955.4142	-0.162724475	0.145314696	-1.119807426	0.262795834	0.399151582	0.398862145
YBR198C	TAF5	1815.201981	-0.167935541	0.107731147	-1.558839249	0.119034432	0.215853988	0.665839923
YBR199W	KTR4	9503.247159	0.432238352	0.152465803	2.834985572	0.004582776	0.014747253	1.83128886
YBR200W	BEM1	3635.210232	0.158961067	0.105881114	1.501316529	0.133273712	0.23609377	0.626915473
YBR200W-A	YBR200W-A	2.462630607	-0.291273254	0.327963788	-0.888126265	0.374472836	0.519357682	0.28453344
YBR201C-A	MIN7	3024.728064	0.23366921	0.115559122	2.022074997	0.043168605	0.096109834	1.017232174
YBR201W	DER1	1265.476081	-0.06285508	0.101364502	-0.620089661	0.535198758	0.67156305	0.172913207
YBR202W	MCM7	2585.470401	0.125925731	0.190649313	0.660509756	0.50892676	0.648643919	0.187993649
YBR203W	COS111	5597.640056	1.504946609	0.265769024	5.662611033	1.49E-08	1.48E-07	6.829831835
YBR204C	LDH1	2523.304567	-0.060414802	0.189372262	-0.319026669	0.74970629	0.838021122	0.076745035
YBR205W	KTR3	1823.897135	-0.141207785	0.1083055	-1.30379145	0.192304699	0.314046128	0.503006557
YBR206W	YBR206W	191.929522	-0.231553678	0.186514037	-1.241481241	0.214428024	0.341964213	0.466019342
YBR207W	FTH1	4691.26698	0.027511391	0.151325968	0.181802183	0.855737971	0.910081686	0.040919625
YBR208C	DUR1,2	28122.75474	2.29986494	0.237780171	9.67223185	3.96E-22	1.74E-20	19.75835992
YBR209W	YBR209W	1.054962871	-0.168300771	0.167624526	-1.004034285	0.315362088	0.45765099	0.339465594
