gene	LAB.A	LAB.B	med15.A	med15.B	WY7.A	WY7.B	WY15.A	WY15.B	WY23.A	WY23.B	
YDR522C	13	9	98	131	11	5	3	3	5	7	
YDR523C	512	439	2873	2453	349	278	437	507	412	375	
YDR524C	2489	2562	2446	2682	1829	1805	2713	2399	2125	2139	
YDR524W-C	14	26	1	2	26	21	15	15	5	13	
YDR524C-B	68339	73010	22832	20095	65780	78086	65469	61548	72903	74264	
YDR524C-A	51	73	36	21	46	51	57	52	57	48	
YDR525W	0	7	4	0	1	2	2	4	3	0	
YDR525W-A	618	723	1194	1217	497	531	740	723	640	625	
YDR526C	11	28	12	6	13	3	16	7	10	8	
YDR527W	8495	9507	6004	5676	7990	7714	9250	7169	8177	8826	
YDR528W	1164	812	2972	3739	614	841	1837	1638	1217	1337	
YDR529C	8328	7670	10630	12394	6129	6388	6922	7866	6088	6723	
YDR530C	5026	5282	4975	5795	3964	4546	5445	4634	4633	4941	
YDR531W	3892	3542	4613	4475	2553	2967	4537	3770	3864	4027	
YDR532C	1183	1059	1180	1530	715	770	1049	1264	889	910	
YDR533C	23067	19325	9144	10774	18037	18706	20931	27843	20905	24141	
YDR534C	389	420	595	555	300	213	324	412	228	244	
YDR535C	273	298	233	207	231	149	189	231	151	153	
YDR536W	389	435	499	438	394	225	122	650	99	66	
YDR537C	15	18	19	14	22	12	19	17	13	20	
YDR538W	818	852	1994	2002	613	511	760	669	685	640	
YDR539W	3177	3010	4037	4034	2235	2105	3372	2980	2575	2653	
YDR540C	172	184	180	146	122	93	159	205	155	122	
YDR541C	11663	8243	9588	12525	7512	10206	11770	12881	10978	11981	
YDR542W	19	24	14	18	23	32	30	27	18	16	
YDR543C	0	2	1	7	0	1	3	1	0	0	
YDR544C	5	5	23	19	2	3	3	1	3	0	
YDR545W	4	6	7	5	2	8	1	6	3	2	
YDR545C-A	0	0	0	0	0	0	0	0	0	0	
YEL077C	336	323	821	969	232	217	289	271	225	261	
YEL077W-A	0	0	0	0	0	0	0	0	0	1	
YEL076C-A	3	3	19	9	4	0	0	4	2	4	
YEL076C	0	0	0	0	0	0	0	0	0	0	
YEL075W-A	6	12	47	42	5	11	2	11	9	6	
YEL075C	1	1	5	0	1	2	2	0	3	1	
YEL074W	59	69	272	255	55	45	57	51	36	41	
YEL073C	5437	5079	5300	5364	4232	4468	4575	5209	4633	4536	
YEL072W	3331	3380	1832	1674	2480	2423	3405	3348	2882	2911	
YEL071W	13802	12602	19091	19157	9899	11330	13972	10136	14312	14853	
YEL070W	375	588	466	305	303	154	244	209	169	151	
YEL069C	4	8	10	6	3	2	3	7	5	3	
YEL068C	851	957	1040	1012	610	594	1080	741	742	729	
YEL067C	113	135	198	156	92	94	155	108	70	104	
YEL066W	750	696	1175	1071	480	415	940	639	514	516	
YEL065W	433	384	2333	1280	278	197	432	349	290	280	
YEL064C	2080	1634	1681	1397	1541	1423	1994	2152	1503	1440	
YEL063C	57534	47017	17202	16437	38864	35890	59656	43253	41218	42929	
YEL062W	1942	1792	2177	1889	1267	1145	2129	1883	1473	1498	
YEL061C	1045	1055	1319	1239	695	567	1231	937	872	796	
YEL060C	43311	52086	32523	29363	35752	30983	35126	35282	34654	34441	
YEL059C-A	1194	1066	1197	1115	858	837	1105	1104	963	1051	
YEL059W	195	234	177	137	171	188	215	204	213	181	
YEL058W	5566	4406	4174	4071	3618	3535	4816	5448	4089	4099	
YEL057C	41	62	207	180	47	25	33	54	31	34	
YEL056W	2147	1958	2636	2609	1693	1339	1635	2173	1328	1354	
YEL055C	2860	3313	3339	2940	2198	2022	3459	2467	2671	2467	
YEL054C	4131	6214	7909	8633	3943	4374	8385	3567	4555	4648	
YEL053W-A	9	13	12	14	19	17	14	25	11	13	
YEL053C	2760	2911	3310	2866	1881	1780	3309	2450	2395	2271	
YEL052W	3950	3500	4740	4453	2784	2629	3739	3776	3064	3020	
YEL051W	8242	7009	6609	8076	5727	6480	8245	7827	6977	7199	
YEL050W-A	4	3	0	0	0	4	3	4	1	5	
YEL050C	2711	2523	2886	3107	1929	1973	2858	2805	2255	2280	
YEL049W	689	600	1058	1096	429	397	664	618	463	514	
YEL048C	394	478	543	532	265	287	505	372	345	341	
YEL047C	3517	3630	7416	6852	2441	2845	3792	3154	3630	4166	
YEL046C	23250	28429	18092	16346	23058	25353	31618	19966	31035	34722	
YEL045C	893	952	414	342	780	1107	999	885	1352	1154	
YEL044W	2936	2958	3091	3217	2363	2584	2928	2616	2700	2913	
YEL043W	2929	3217	3648	3445	2535	2158	3362	2464	2525	2639	
YEL042W	3031	3945	3889	3482	2697	2608	4269	2631	3032	3163	
YEL041W	1104	893	1054	1324	891	833	942	1133	816	826	
YEL040W	440	452	2459	1173	309	274	568	368	444	410	
YEL039C	10010	8603	8543	9215	8488	7773	8232	10050	7408	8192	
YEL038W	2135	2297	1736	1676	1813	1780	2534	1950	1782	1931	
YEL037C	5622	7003	6635	6802	4634	5053	7108	4912	5493	6103	
YEL036C	5038	5565	5038	5245	4270	3863	6065	4674	4642	4871	
YEL035C	404	492	338	246	454	442	416	360	363	461	
YEL034C-A	1158	1591	595	461	1250	1062	1703	1126	1345	1511	
YEL034W	12548	12734	12092	12200	10926	9274	12692	11212	8974	9540	
YEL033W	2549	2609	2392	2343	2319	2245	2563	2670	1911	1976	
YEL032W	4163	4512	5394	4507	3068	2659	4608	3402	3500	3346	
YEL032C-A	1	0	0	0	0	2	0	0	0	0	
YEL031W	5361	6118	7901	7738	4072	3943	7303	4935	5484	5495	
YEL030C-A	28	24	68	62	17	19	16	19	12	20	
YEL030W	915	841	1521	1573	597	539	840	851	606	669	
YEL029C	5596	3473	5571	6492	3298	4210	5917	5653	5830	5947	
YEL028W	1137	1127	1475	1545	810	834	1214	1016	1074	1081	
YEL027W	11552	12613	14303	14910	9222	9633	13008	11036	10845	11292	
YEL026W	2577	2863	4357	4681	2365	2637	4870	2367	3278	3329	
YEL025C	4481	3515	5875	5745	2902	2994	3966	4184	3534	3548	
YEL024W	5562	5451	9933	9604	4117	4144	4397	5090	3967	4128	
YEL023C	1412	1078	1786	1963	887	919	1432	1229	1092	1089	
YEL022W	2177	2289	2428	2488	1533	1312	2443	2012	1774	1640	
YEL021W	0	0	3971	4037	0	0	0	0	0	0	
YEL020C-B	4	1	2	4	4	5	2	6	0	4	
YEL020W-A	1074	1044	1850	1559	695	776	836	914	847	750	
YEL020C	7547	7132	4708	5165	5643	6418	6618	6446	6692	6962	
YEL019C	1017	983	942	1000	666	661	1008	905	816	789	
YEL018C-A	20	30	21	19	18	19	18	11	26	12	
YEL018W	2125	1772	1633	1717	1346	1511	1964	1929	1698	1819	
YEL017C-A	16378	17579	11923	13525	14221	17871	15241	15720	18618	19673	
YEL017W	1264	942	1165	1224	972	1322	1105	1292	1195	1337	
YEL016C	2742	2231	2714	2730	1914	1877	2437	2489	2113	2135	
YEL015W	3780	3465	3635	3548	2654	2566	3911	3517	3074	3090	
YEL014C	10	11	19	15	10	5	6	2	15	4	
YEL013W	3477	3347	4023	3906	2510	2537	3327	3426	2677	2735	
