gene	LAB.A	LAB.B	med15.A	med15.B	WY7.A	WY7.B	WY15.A	WY15.B	WY23.A	WY23.B	
YHR184W	142	198	753	828	94	91	183	94	138	135	
YHR185C	2	9	38	37	2	1	9	1	6	3	
YHR186C	2635	2528	2746	2639	1699	1463	2605	2225	1942	1770	
YHR187W	1965	1970	2435	2194	1338	1388	2035	1778	1455	1450	
YHR188C	3218	3304	5149	5064	2434	2331	3248	2943	2540	2701	
YHR189W	593	558	794	888	401	441	586	554	456	484	
YHR190W	7472	7526	10523	11443	4951	5819	6848	5959	6409	7193	
YHR191C	836	661	612	678	466	453	721	785	651	605	
YHR192W	1320	1343	1486	1520	854	932	1365	1177	1066	1070	
YHR193C	4160	4756	6833	7618	3267	3253	4775	3948	3794	4076	
YHR193C-A	142	145	142	111	122	125	116	187	151	143	
YHR194W	3127	2688	4789	4533	2110	2087	2785	2980	2246	2581	
YHR195W	7891	7434	5950	6228	6333	6161	6008	7550	6065	6455	
YHR196W	3422	3714	3496	3590	2700	2804	4543	2902	3588	3355	
YHR197W	1667	2277	1548	1188	1343	1168	2387	1393	1673	1458	
YHR198C	3859	3324	4384	4240	2770	2695	3109	3773	2778	2803	
YHR199C	7128	6693	10535	11319	5625	5489	7075	6657	6000	6430	
YHR199C-A	627	551	894	825	442	427	608	560	526	599	
YHR200W	4183	4989	4222	4664	3398	3455	4564	3935	3669	4008	
YHR201C	2611	2521	2663	2821	1671	1722	2966	2301	2098	2235	
YHR202W	5226	5324	3895	3555	4136	3786	5011	4756	4204	4207	
YHR203C	5526	7021	7992	8840	5187	5247	8667	4603	5532	5551	
YHR204W	1662	1894	2722	2494	1196	1146	1962	1481	1350	1414	
YHR205W	9142	10882	8850	7987	8307	6225	9409	7247	7482	6945	
YHR206W	7677	8323	10588	9922	6624	6467	6847	6058	6994	7581	
YHR207C	3628	2718	3075	3374	2054	2364	4117	3215	2971	3129	
YHR208W	89683	72463	56025	60703	66110	84735	88939	88202	89339	102910	
YHR209W	1340	1080	1645	2258	759	739	1181	1489	1115	1096	
YHR210C	1585	2260	1008	477	1793	977	1712	1498	1098	841	
YHR211W	691	580	1322	1444	455	385	642	677	485	517	
YHR212C	0	0	0	0	0	0	0	0	0	0	
YHR212W-A	0	0	0	0	0	0	0	0	0	0	
YHR213W	0	0	0	0	0	0	0	0	0	0	
YHR213W-A	0	0	0	0	0	0	0	0	0	0	
YHR213W-B	0	0	0	0	0	0	0	0	0	0	
YHR214W	0	0	0	0	0	0	0	0	0	0	
YHR214W-A	1	5	12	7	0	1	2	0	0	1	
YHR214C-D	0	0	0	0	0	0	0	0	0	0	
YHR214C-E	1	0	0	1	0	0	0	0	0	0	
YHR215W	83	79	108	102	59	40	66	81	72	53	
YHR216W	524	715	2633	1037	292	254	609	274	366	425	
YHR217C	3	0	18	11	0	1	0	0	0	0	
YHR218W	0	1	0	1	0	0	0	1	0	0	
YHR218W-A	0	0	0	0	0	0	0	0	0	0	
YHR219W	32	21	138	115	17	12	55	20	12	18	
YHR219C-A	0	0	0	0	0	0	0	0	0	0	
YIL177C	7	1	5	3	3	2	3	2	1	4	
YIL177W-A	0	0	0	0	0	0	0	0	0	0	
YIL176C	0	0	0	0	0	0	0	0	0	0	
YIL173W	0	1	2	0	1	1	1	0	2	2	
YIL172C	0	2	1	0	0	0	0	0	0	0	
YIL171W-A	0	0	0	0	0	0	0	0	0	0	
YIL169C	91	102	1693	1571	79	67	67	59	100	73	
YIL166C	3065	3280	2790	3263	2268	2209	3074	2481	2802	2744	
YIL165C	5061	3485	2920	2429	3332	3828	4169	4628	4148	4211	
YIL164C	5882	4124	3547	2950	3868	4536	4867	5490	5124	5217	
YIL163C	17	21	30	24	12	8	12	10	2	9	
YIL162W	1085	1873	1907	1607	1070	863	1336	926	1012	1041	
YIL161W	1523	1205	1272	1847	917	943	1414	1626	1160	1207	
YIL160C	195	162	1706	1484	135	99	153	161	82	87	
YIL159W	445	607	1058	1021	295	212	598	349	389	357	
YIL158W	20	28	42	44	13	6	12	17	20	20	
YIL157C	2706	2495	2456	2551	1896	1786	2278	2644	2025	2227	
YIL156W-A	15	14	26	18	13	10	6	16	10	7	
YIL156W-B	1717	1413	1684	1664	1292	1311	1478	1673	1525	1414	
YIL156W	1759	1778	1937	1813	1225	1004	1677	1689	1451	1339	
YIL155C	4144	6743	4415	2576	4612	2033	3004	3150	2411	1782	
YIL154C	4547	4477	4590	5402	3107	3350	4027	4448	3698	4277	
YIL153W	2961	3407	4477	4556	2486	2343	3049	2808	2683	2784	
YIL152W	3307	2916	3402	3019	2346	2519	2677	2858	2684	2671	
YIL151C	4477	4342	5165	5207	3278	2880	4295	4119	3481	3477	
YIL150C	1441	1440	1413	1075	983	738	1353	925	1013	1069	
YIL149C	2691	2447	2462	2915	1745	1443	2681	2297	1893	2022	
YIL148W	5344	6959	7528	8136	4915	5484	8428	4966	5234	5366	
YIL147C	2500	2524	3946	3430	1870	1581	2633	2279	2343	1965	
YIL146C	4963	4454	6205	7404	3728	3949	4714	4642	4330	4649	
YIL145C	1007	1446	1093	1169	816	1028	1649	853	1282	1220	
YIL144W	2308	2104	2564	3310	1493	1522	2227	2205	1807	1859	
YIL143C	7170	6120	7744	8234	4967	5182	6131	6233	5463	5833	
YIL142C-A	2	4	1	2	1	0	2	2	1	0	
YIL142W	5375	5548	6291	6510	3831	4203	5867	4701	4539	4961	
YIL141W	11	10	59	75	9	12	7	11	15	8	
YIL140W	1503	1491	5424	5065	1037	891	1452	1284	1226	1189	
YIL139C	862	671	1170	1353	570	592	865	925	712	752	
YIL138C	1632	2019	2050	2622	1043	1278	2092	1379	1695	1730	
YIL137C	3365	3104	7577	7681	2487	2139	3046	3115	2440	2692	
YIL136W	16450	18047	14423	16326	13894	9599	10215	16371	10407	10666	
YIL135C	5618	5610	6219	6553	4396	4433	5680	5521	4983	5194	
YIL134C-A	13	20	47	54	14	11	23	20	15	15	
YIL134W	525	464	782	769	340	379	579	587	511	499	
YIL133C	5575	7440	8109	8482	5142	5595	9250	5005	5993	6024	
YIL132C	176	186	373	422	133	100	187	197	123	107	
YIL131C	235	278	625	499	179	168	289	230	159	128	
YIL130W	6071	5710	7956	8184	4272	4918	7963	5689	6518	6538	
YIL129C	4092	3244	4308	4397	2662	2699	3818	3670	3026	3221	
YIL128W	1617	1793	2510	2031	1099	858	1739	1235	1269	1031	
YIL127C	2214	2467	1549	2013	1768	1716	2676	2199	2244	2397	
YIL126W	3204	3582	3474	3922	2487	2207	3906	3086	2805	2659	
YIL125W	16102	13805	20382	22230	12054	11832	13510	15154	12162	13250	
YIL124W	3558	3244	5125	4824	2645	2285	2492	3414	2089	2153	
YIL123W	1630	1691	4460	5603	1181	1145	1566	1340	1536	1756	
YIL122W	7398	8861	4630	4645	6594	5178	7065	6007	5518	5878	
YIL121W	23119	19373	10777	10921	17948	20123	24592	23195	21503	22209	
YIL120W	536	409	1180	1143	365	335	512	624	383	435	
YIL119C	9462	8242	5842	6383	6588	7599	10575	8634	8262	8888	
YIL118W	3969	3343	3067	3275	2455	2866	5302	3919	3708	3968	
YIL117C	3623	2228	4227	3877	1669	1821	2990	3068	2711	2771	
YIL116W	14695	9097	11905	12107	8298	11052	12748	13222	12387	13597	
YIL115W-A	1	3	3	0	0	1	0	3	0	2	
YIL115C	3452	3611	4600	4919	2608	2155	3375	3154	2513	2545	
YIL114C	1031	1240	1970	1767	835	835	1649	1134	1113	1155	
YIL113W	1811	2134	1369	1043	1728	1554	1797	1927	1366	1549	
YIL112W	5432	5120	5610	5831	3769	3581	4643	4536	4388	4122	
YIL111W	19956	17438	8710	10478	14763	17046	20897	18582	18287	20181	
YIL110W	1276	1281	1818	1758	851	866	1593	1113	1174	1097	
YIL109C	4433	4513	6072	6418	3455	3154	4480	4466	3558	3688	
YIL108W	3255	3010	4827	5219	1965	1943	3088	3195	2440	2323	
YIL107C	7515	5536	8020	9470	5076	4804	5291	7293	5199	5498	
YIL106W	2225	2019	2184	2123	1425	1380	2047	2085	1668	1809	
YIL105C	6751	7177	5054	5022	5381	4400	5085	6395	4707	4590	
YIL105W-A	1	6	7	1	4	2	3	5	4	0	
YIL104C	2080	2197	2143	1836	1706	1307	2171	1761	1572	1369	
YIL103W	1966	2035	1863	1546	1451	1521	2080	1635	1709	1549	
YIL102C-A	1189	1038	1164	958	891	962	1063	947	1008	948	
YIL102C	12	13	77	42	12	7	8	11	9	6	
YIL101C	14778	23715	6919	3459	18315	9676	12866	11061	10830	8474	
YIL100C-A	316	463	101	75	323	247	285	267	277	191	
YIL100W	99	98	118	133	80	51	85	75	72	65	
YIL099W	1316	1379	1571	1571	1107	786	914	1177	716	834	
YIL098C	1351	1226	962	1199	948	907	1182	1364	1060	983	
YIL097W	3501	3025	3193	3537	2517	2419	2477	3316	2378	2502	
YIL096C	1585	2126	1706	1838	1295	1444	2368	1543	1756	1776	
YIL095W	2368	2315	2557	2548	1620	1562	2469	2244	2020	1993	
YIL094C	11985	11051	11708	12395	8648	9633	11526	10472	10923	11324	
YIL093C	2412	2158	1889	1923	1728	1694	2731	2156	2008	2035	
YIL092W	3857	3285	3691	3633	2772	2643	3707	3182	2948	2888	
YIL091C	2709	2958	3423	3171	1979	1829	3735	2204	2548	2478	
YIL090W	4281	3909	4495	4706	3310	3187	4099	3917	3665	3513	
YIL089W	619	536	668	746	418	516	594	638	505	472	
YIL088C	8972	7894	8459	7357	6607	6425	8553	8156	7039	7159	
YIL087C	3099	2316	3220	3219	2119	2395	2393	2845	2251	2395	
YIL086C	93	73	155	147	78	69	107	120	82	91	
YIL085C	4134	4071	4372	4633	3227	3381	4461	4020	3840	3742	
YIL084C	1335	1061	1306	1393	837	850	1287	1295	996	1071	
YIL083C	3715	3241	4476	4830	2586	2888	3625	3080	3067	3242	
YIL082W	21	12	35	30	9	12	16	11	8	8	
YIL079C	2961	2307	3430	3411	2318	2542	4112	3101	3161	3387	
YIL078W	10047	10246	10705	9288	7361	7577	10148	8649	8910	8914	
YIL077C	5230	3759	4905	5683	3563	3646	3798	5522	3692	3891	
YIL076W	2187	1879	2330	2643	1391	1410	1997	1906	1676	1700	
YIL075C	12045	11809	12115	12720	8261	8720	11421	10528	9964	10705	
YIL074C	9499	7785	7317	5863	6213	6728	8331	8900	7789	8033	
YIL073C	216	283	612	619	195	143	250	238	180	165	
YIL072W	145	193	1351	1762	128	87	123	100	96	115	
YIL071W-A	10	9	124	138	14	9	14	17	10	8	
YIL071C	2252	1809	1902	2402	1437	1579	2110	2275	1841	1960	
YIL070C	2148	1801	2135	2478	1514	1487	2645	2292	2066	1961	
YIL069C	3148	4420	5243	5241	2850	3018	6025	2751	3432	3400	
YIL068W-A	0	0	0	0	0	0	0	0	1	0	
YIL068C	2290	1897	2552	2428	1494	1236	2203	2147	1566	1715	
YIL067C	2536	2133	2929	2987	1848	2365	2760	2605	2683	2833	
YIL066W-A	6	13	64	81	10	3	9	5	5	3	
YIL066C	577	566	1258	1298	449	430	584	596	491	592	
YIL065C	2621	2470	3046	3250	1993	1986	2483	2540	2199	2229	
YIL064W	1636	1819	1706	1704	1353	1383	1737	1435	1461	1435	
YIL063C	1992	1780	1874	2567	1228	1338	1933	1950	1520	1548	
YIL062C	3300	2600	2782	3218	2166	2641	2582	2878	2518	2674	
YIL061C	1765	1606	2548	2267	1186	1266	1920	1684	1416	1622	
YIL060W	66	62	116	114	35	31	58	77	74	60	
YIL059C	3708	3450	5372	5261	2498	2838	3894	2985	2911	3491	
YIL058W	138	130	241	167	83	81	117	116	108	114	
YIL057C	57	211	75	10	97	22	74	30	40	20	
YIL056W	11708	10961	12034	11233	9329	10042	12432	10623	11642	12075	
YIL055C	2205	2438	2154	1552	1752	1152	1867	1952	1483	1336	
YIL054W	2	8	28	15	6	1	3	2	1	1	
YIL053W	40851	40780	13885	15595	31883	39510	51741	36310	45268	53923	
YIL052C	3230	4702	4250	5040	3358	3337	6128	3441	3935	3894	
YIL051C	13803	12305	11799	12348	10643	11740	13715	14055	12388	14071	
YIL050W	5595	4877	6481	6748	3812	3942	4403	5292	3949	4465	
YIL049W	488	540	969	756	378	365	485	583	428	422	
YIL048W	3627	3731	5019	5197	2707	2335	3774	3512	3138	2768	
YIL047C-A	930	918	1140	1236	747	846	999	979	949	896	
YIL047C	9144	9420	12831	14106	7183	8717	10464	8733	9210	10018	
YIL046W-A	30	62	82	77	36	34	49	22	50	22	
YIL046W	9980	11499	11032	9915	8483	7896	9395	7477	8563	8346	
YIL045W	11096	9435	4585	5714	9103	8031	5485	11575	6901	7550	
YIL044C	3057	2808	3032	3264	2066	2266	3081	2871	2663	2818	
YIL043C	6690	7772	9118	10312	5254	6067	7775	5610	6726	6669	
YIL042C	2773	2431	2666	2488	1877	1700	2489	2593	2029	2126	
YIL041W	3717	3595	4131	4441	2608	2722	3132	3200	2833	3115	
YIL040W	1027	903	1716	1594	635	782	959	913	906	961	
YIL039W	2566	2921	3182	2850	1972	1739	2769	2267	2258	2312	
YIL038C	3600	3809	4241	4030	2585	2459	3813	3224	3087	3003	
YIL037C	2550	1882	4579	3640	1636	1617	2003	2368	2067	1929	
YIL036W	7184	5953	5781	5534	5261	5347	4962	6257	5535	6103	
YIL035C	3610	3045	3856	4009	2683	2885	3291	3255	3016	3159	
YIL034C	3683	2993	4218	4785	2504	2514	2972	3441	2401	2945	
YIL033C	5165	4748	6142	6990	4026	4020	3686	5300	3653	4372	
YIL032C	0	0	0	0	0	0	0	0	0	1	
YIL031W	2669	2971	2911	3200	2153	1864	2355	2224	2147	2094	
YIL030W-A	150	171	159	203	134	126	156	168	150	140	
YIL030C	5742	6417	6910	6450	4539	4106	6215	4517	5063	5188	
YIL029W-A	2	2	1	0	0	0	0	1	0	0	
YIL029C	1031	495	796	1022	550	539	696	907	585	579	
YIL028W	209	118	336	290	96	80	128	201	110	108	
YIL027C	1250	1048	1233	1403	929	904	1303	1123	1018	976	
YIL026C	563	460	2381	2207	236	214	515	431	364	350	
YIL025C	3	5	5	9	3	5	0	3	6	1	
YIL024C	951	996	1744	2055	796	803	1072	1063	976	981	
YIL023C	5134	4165	3795	4028	3305	3424	4805	5309	4545	4657	
YIL022W	8455	8226	7511	7937	5892	6308	9022	7624	7435	8091	
YIL021W	2785	2875	2267	2333	2006	2073	3255	2623	2410	2418	
YIL021C-A	3	1	2	0	3	1	0	2	0	0	
YIL020C-A	64	23	67	62	45	31	64	47	47	57	
YIL020C	2259	1932	2796	2840	1616	1711	2112	2048	1840	1853	
YIL019W	2496	2436	2362	2508	1985	1979	3064	2183	2315	2329	
YIL018W	8186	12085	12987	13842	7914	8282	14468	7044	8747	9011	
YIL017C	5308	3761	3956	4052	3474	3330	3437	4825	3016	3182	
YIL016W	847	691	793	935	583	662	731	817	620	623	
YIL015W	84	112	232	216	75	68	104	84	89	70	
YIL014C-A	2468	2348	2666	2851	1802	1774	2455	2265	2083	2151	
YIL014W	3669	3526	4852	5747	2646	2691	3664	3311	3188	3229	
YIL013C	519	1429	2799	2955	705	774	1285	429	1070	997	
YIL012W	32	28	75	35	25	26	27	31	25	24	
YIL011W	387	1701	468	691	606	1038	2119	324	1434	1420	
YIL010W	1413	1291	1990	2156	987	942	1425	1314	1168	1143	
YIL009C-A	1093	980	1388	1212	802	922	1068	1040	888	833	
YIL009W	1166	1451	1366	1104	932	674	1576	1171	1042	931	
YIL008W	1100	957	1186	1316	757	774	1102	962	966	990	
YIL007C	1700	1377	1451	1547	1066	1016	1429	1699	1057	1119	
YIL006W	1471	1643	2300	2255	1347	1134	1501	1824	1174	1064	
YIL005W	4142	4503	4164	4531	3342	2889	4071	3894	3566	3723	
YIL004C	1172	1268	986	1119	975	870	1237	1228	1086	964	
YIL003W	5360	4495	4456	4511	3869	4492	4501	5017	4463	4598	
YIL002W-A	2024	1786	1427	1816	1520	1479	1979	1962	1902	1833	
YIL002C	2119	1679	2626	2842	1256	1102	1918	1813	1492	1493	
YIL001W	1629	1246	1933	2139	978	1021	1611	1451	1136	1099	
YIR001C	2832	2720	3065	3842	2004	1967	3114	2593	2533	2601	
YIR002C	3602	3141	4563	4943	2411	2166	3246	3234	2726	2921	
YIR003W	3702	3706	3813	4055	2650	2324	3119	3319	2456	2573	
YIR004W	4735	3845	3528	4169	2964	3192	4270	4230	3362	3620	
YIR005W	1560	1188	1286	1429	1096	1085	1351	1462	1291	1267	
YIR006C	5356	5194	7033	7173	4137	3748	5368	4991	4690	4980	
YIR007W	2073	2001	3272	3392	1392	1313	2169	1697	1680	1703	
YIR008C	1271	1091	1572	1403	886	828	1273	1104	962	937	
YIR009W	682	591	926	958	430	470	745	594	597	614	
YIR010W	1765	1707	1607	1414	1319	1223	1835	1549	1386	1368	
YIR011C	5147	5466	4833	4839	4104	4041	6511	4816	4765	4953	
YIR012W	3708	3732	4720	4367	2870	3302	5634	3724	3966	4189	
YIR013C	10	8	22	22	15	8	8	8	8	6	
YIR014W	617	440	611	696	442	350	462	771	412	445	
YIR015W	839	730	1067	1225	661	559	745	954	588	636	
YIR016W	3056	3307	2704	2668	2751	2455	2320	3130	1992	2107	
YIR017C	6667	4436	4260	4063	3572	4226	5789	6577	5509	5945	
YIR017W-A	20	20	40	36	17	12	17	12	10	10	
YIR018W	2385	2275	2019	1969	1712	1745	2286	2397	1790	1925	
YIR018C-A	56	78	111	144	59	36	62	70	45	41	
YIR019C	368	263	1057	1034	265	271	354	343	321	366	
YIR020C	102	86	240	243	53	58	81	92	85	59	
YIR020W-A	0	1	6	12	3	1	1	3	2	1	
YIR020C-B	2	8	17	14	8	1	2	8	7	3	
YIR021W	554	533	1072	1116	396	382	706	566	439	476	
YIR021W-A	9	6	13	16	5	1	5	8	7	5	
YIR022W	1990	1959	1811	1854	1582	1547	1977	1756	1609	1725	
YIR023W	3139	3091	2210	1963	2284	1909	2997	2524	2464	2160	
YIR023C-A	13	23	25	23	10	11	20	17	12	7	
YIR024C	1329	1445	1490	1323	958	855	1153	1179	1067	992	
YIR025W	1710	1731	2100	1709	1116	990	1516	1364	1380	1235	
YIR026C	2415	2434	2754	2350	1709	1680	3021	1983	2224	2158	
YIR027C	2827	2290	933	959	1945	1761	3421	2452	1943	1640	
YIR028W	3289	2836	728	628	2695	1831	3836	2475	2083	1334	
YIR029W	9327	5982	2830	2908	5305	4729	9764	7042	6126	5059	
YIR030C	1950	1338	1185	1584	960	1336	2338	1807	1598	1450	
YIR030W-A	15	25	44	48	18	15	21	18	16	18	
YIR031C	36150	22481	4313	3807	18914	21938	38996	30449	24538	22465	
YIR032C	9733	6821	1259	1432	7301	7228	9483	7759	7029	6061	
YIR033W	7945	14500	7366	10081	7647	10197	15883	5262	13467	13756	
YIR034C	19312	13282	25049	22456	11409	14483	17251	17336	17292	18554	
YIR035C	3595	2972	3995	4396	2460	3011	3365	3154	3184	3647	
YIR036C	1540	1362	1575	1575	1200	992	1041	1391	832	999	
YIR036W-A	10	15	26	17	8	12	19	15	13	10	
YIR037W	4942	4590	5145	5622	3787	3323	3840	4524	3373	3762	
YIR038C	9176	12524	5695	6564	9822	7334	8728	6999	7597	8036	
YIR039C	2930	1656	6517	7481	1648	1724	2005	2916	1714	1851	
YIR040C	0	0	0	0	0	0	0	0	0	0	
YIR041W	21	13	36	58	10	11	25	45	17	22	
YIR042C	1629	1603	1239	1339	1106	987	1615	1495	1291	1288	
YJL225C	16	12	16	22	7	11	16	14	14	6	
YJL225W-A	0	0	0	0	0	0	0	0	0	0	
YJL223C	0	0	1	0	0	0	0	0	0	0	
YJL222W-B	0	0	0	0	0	0	0	0	0	0	
YJL222W-A	0	0	0	0	0	0	0	0	0	0	
YJL222W	2	0	0	1	2	1	1	2	0	1	
YJL221C	0	0	0	0	0	0	0	0	0	0	
YJL220W	0	0	0	0	0	0	0	0	0	0	
YJL219W	140	204	277	230	103	88	157	92	96	98	
YJL218W	22	28	157	101	24	19	27	27	20	11	
YJL217W	1359	1482	2124	1719	1012	711	1176	1009	838	810	
YJL216C	396	636	512	470	458	216	452	374	303	240	
YJL215C	121	127	249	240	90	70	111	99	114	98	
YJL214W	123	157	126	95	94	77	118	104	102	82	
YJL213W	3762	3246	4015	2332	2719	2120	2691	3175	2573	2254	
YJL212C	20725	17772	5236	3580	17848	14123	17467	18726	11797	11479	
YJL211C	88	117	163	197	74	69	101	75	74	79	
YJL210W	5901	5707	4186	4058	4937	4861	5882	4891	5493	5891	
YJL209W	2226	1944	2400	2386	1637	1759	2658	2141	1903	2037	
YJL208C	1306	888	2653	2667	724	888	1900	1302	1236	1249	
YJL207C	2313	2047	2534	2503	1374	1483	2262	2055	1848	1929	
YJL206C	2612	3508	2942	1978	2356	1218	2569	2211	1928	1497	
YJL205C	1194	1065	1812	1933	816	889	1021	1168	906	949	
YJL204C	1297	1465	2058	1886	928	886	1626	1230	1242	1175	
YJL203W	1640	1597	1464	1498	1085	1048	1789	1487	1419	1322	
YJL202C	14	17	93	66	21	22	16	21	9	15	
YJL201W	2214	1940	7121	6986	1399	1456	1789	1808	1683	1680	
YJL200C	8046	7169	10683	11239	5382	6617	9156	6747	8089	7746	
YJL199C	1125	1152	1017	845	939	774	948	998	810	875	
YJL198W	2282	3638	5543	3544	2401	1350	2475	1497	2010	1617	
YJL197W	2316	2269	2332	2639	1634	1564	2253	2301	1945	1831	
YJL197C-A	0	0	1	0	0	0	0	0	0	0	
YJL196C	2999	2423	2749	3890	1963	1850	2651	3175	2441	2287	
YJL195C	78	87	191	123	60	56	75	68	70	60	
YJL194W	333	413	1245	1430	264	324	343	396	362	358	
YJL193W	1682	1703	1986	2556	1271	1591	2102	1742	1643	1868	
YJL192C	2667	2739	3276	3472	2005	2113	2953	2758	2359	2508	
YJL191W	2789	3442	4918	4408	2458	2408	4118	2777	2784	2629	
YJL190C	2513	3961	4652	5149	2330	2612	5716	2168	2902	2867	
YJL189W	3463	3792	5341	6527	3257	3400	5829	3758	3804	4274	
YJL188C	5	14	8	10	16	14	23	14	11	6	
YJL187C	702	793	1592	1782	535	446	655	563	552	512	
YJL186W	6783	8888	6455	4136	6453	4822	7706	6083	6006	5248	
YJL185C	1879	1259	1672	1991	1134	1293	1473	1755	1277	1413	
YJL184W	1742	1618	1793	1715	1286	1409	1716	1868	1534	1683	
YJL183W	1794	1700	2401	2258	1341	1267	2125	1865	1508	1452	
YJL182C	1	2	11	5	1	0	3	1	1	3	
YJL181W	1228	1106	2182	2322	846	780	1303	1259	907	936	
YJL180C	1167	970	1218	1309	675	709	1365	1208	884	1001	
YJL179W	855	747	857	940	534	569	949	860	714	716	
YJL178C	2731	2737	3628	3444	2124	2042	2899	2595	2414	2499	
YJL177W	2832	4094	4969	5508	2844	2904	5372	2816	3200	3224	
YJL176C	2077	2036	2314	2048	1424	1227	2467	1939	1630	1646	
YJL175W	1	2	30	10	0	0	4	1	2	2	
YJL174W	10094	10149	12709	14840	7684	8742	10262	9979	9110	10216	
YJL173C	855	695	1036	1126	511	520	776	728	662	727	
YJL172W	3528	2442	1965	1344	2206	2062	2692	2587	2451	2195	
YJL171C	9759	11016	7541	5528	8516	8201	8877	8571	9651	9759	
YJL170C	57	82	112	75	58	63	41	78	65	32	
YJL169W	5	4	2	2	7	11	3	3	2	6	
YJL168C	2873	3146	3022	2262	2267	1951	3170	2529	2458	2285	
YJL167W	6135	7886	8099	8919	4475	4996	6644	4928	5837	6312	
YJL166W	10831	10359	13433	15287	8767	9258	8743	10529	8647	8938	
YJL165C	5997	7033	9019	11162	5573	6047	4237	5580	5694	5862	
YJL164C	4320	3253	2835	3285	3251	3266	2682	4415	2856	3372	
YJL163C	4359	2487	3990	4680	2843	2994	3198	5186	3099	3269	
YJL162C	1641	1574	1926	1890	1030	1028	1428	1387	1222	1142	
YJL161W	2184	1245	1500	1728	1200	1172	1523	2422	1457	1583	
YJL160C	1609	1586	2024	838	1636	948	1579	1510	1583	1139	
YJL159W	106582	93167	62809	64949	72857	70477	96758	95721	87592	100903	
YJL158C	1614	2209	1425	977	1533	1621	2203	1352	1867	2338	
YJL157C	937	1115	1808	1391	626	488	1347	731	685	680	
YJL156W-A	19	31	34	45	19	19	18	20	12	22	
YJL156C	2467	2730	2345	2251	1871	1831	2888	2199	2317	2098	
YJL155C	6156	4647	4164	4994	4211	4351	4643	6000	4632	4999	
YJL154C	3842	4285	4240	3725	3061	2823	3873	3554	3399	3490	
YJL153C	671	695	839	990	559	555	603	701	580	535	
YJL152W	21	30	38	37	24	11	17	18	27	18	
YJL151C	13110	15408	12582	13798	10691	12740	12548	12211	12662	13936	
YJL150W	9	17	57	45	15	25	20	21	17	21	
YJL149W	3291	3244	3839	3533	2530	2074	3182	3131	2505	2383	
YJL148W	1828	2312	2077	2079	1393	1352	2797	1608	1982	1895	
YJL147C	1875	1553	1861	1639	1266	1139	1947	1795	1487	1479	
YJL146W	2310	2284	2470	2292	1634	1476	2271	2144	1716	1562	
YJL145W	511	589	704	661	333	345	527	450	383	368	
YJL144W	3111	2556	1451	1466	2107	1897	2213	3515	2120	2187	
YJL143W	4387	4102	4045	3870	3156	3498	4281	3641	4030	3816	
YJL142C	642	612	584	532	581	567	422	701	466	498	
YJL141C	9585	11411	8852	9961	9679	8052	6550	9420	7463	7862	
YJL140W	5901	4640	3837	4631	3988	4609	5473	5644	5087	5016	
YJL139C	2480	2538	3055	2769	1968	1689	2150	1971	1946	1896	
YJL138C	6474	7244	6432	6942	5041	5793	6680	5013	6048	6244	
YJL137C	1318	1215	1716	1419	1210	1053	994	1334	974	929	
YJL136W-A	2	5	3	4	2	1	4	4	2	6	
YJL136C	3641	4482	4848	5607	3201	3267	5950	3593	3837	3762	
YJL135W	17	9	28	24	13	11	16	23	19	14	
YJL134W	2237	2115	3021	3053	1887	1838	2324	2071	1994	1976	
YJL133C-A	17687	19634	16413	20411	15586	16395	12458	8749	14889	16886	
YJL133W	1254	1891	1763	1587	1191	1237	2015	1173	1406	1366	
YJL132W	2503	1621	4008	4017	1446	1347	2102	2803	1587	1508	
YJL131C	2229	1601	1825	2193	1354	1409	1623	2274	1447	1489	
YJL130C	7997	10648	4756	4705	7130	7009	7520	6311	7539	7475	
YJL129C	3247	4203	4998	5384	2675	2010	3643	2753	2857	2644	
YJL128C	5701	5003	5987	5449	4052	4279	5629	5241	4736	5274	
YJL127W-A	2	8	5	6	16	6	8	9	8	9	
YJL127C-B	2190	1898	2074	2004	1791	1864	2163	2007	2019	1995	
YJL127C	2330	1934	2432	2323	1435	1368	1950	1673	1578	1568	
YJL126W	771	726	1185	1211	546	466	725	651	551	569	
YJL125C	1565	1583	1822	1800	1116	1162	1901	1394	1462	1352	
YJL124C	2758	2970	2067	2207	2030	2176	2886	2386	2497	2386	
YJL123C	4781	3732	3823	4580	3002	3012	3524	4389	3404	3593	
YJL122W	1422	1726	1843	1902	1160	1060	2476	1431	1519	1649	
YJL121C	2443	2506	2942	2751	2019	2000	2849	2123	2260	2379	
YJL120W	2	4	10	5	1	4	2	1	6	0	
YJL119C	128	148	191	128	113	92	152	114	118	111	
YJL118W	184	133	442	307	110	140	206	148	145	168	
YJL117W	3442	3520	2841	3048	2745	2745	3656	3131	2913	2709	
YJL116C	3949	8592	1421	1235	6775	4464	7495	2776	4027	4002	
YJL115W	1328	1559	2018	2413	1016	975	1636	1171	1227	1289	
YJL112W	5030	4452	4927	4706	3639	3482	4244	4542	3700	3819	
YJL111W	7758	7614	8582	9207	5701	5924	8814	6792	7277	7316	
YJL110C	7463	4992	2998	2964	3871	3725	7807	5994	4675	4530	
YJL109C	2504	4074	3390	2657	2000	1803	3521	1631	2694	2423	
YJL108C	3815	4156	2633	1446	3085	1852	2756	3626	1928	1586	
YJL107C	4051	4486	2312	1347	3195	1940	2963	3856	2363	1762	
